title,link,image_url,tags
"""المتمردون"" في الكونغو الديمقراطية يسيطرون على مدينة جديدة",https://www.alhurra.com/arabic-and-international/2025/02/17/%D8%A7%D9%84%D9%85%D8%AA%D9%85%D8%B1%D8%AF%D9%88%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%83%D9%88%D9%86%D8%BA%D9%88-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9-%D9%8A%D8%B3%D9%8A%D8%B7%D8%B1%D9%88%D9%86-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",عربي ودولي
"زيلنسكي يبحث عن استعادة أسرى و""برنامج إنساني واسع النطاق"" في الإمارات",https://www.alhurra.com/uae/2025/02/16/%D8%B2%D9%8A%D9%84%D9%86%D8%B3%D9%83%D9%8A-%D9%8A%D8%A8%D8%AD%D8%AB-%D8%A7%D8%B3%D8%AA%D8%B9%D8%A7%D8%AF%D8%A9-%D8%A3%D8%B3%D8%B1%D9%89-%D9%88%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A5%D9%86%D8%B3%D8%A7%D9%86%D9%8A-%D9%88%D8%A7%D8%B3%D8%B9-%D8%A7%D9%84%D9%86%D8%B7%D8%A7%D9%82-%D9%81%D9%8A-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",الإمارات
بعد مقترحات ترامب.. مكالمة بين بن سلمان وماكرون حول غزة وسوريا وحرب أوكرانيا,https://www.alhurra.com/saudi-arabia/2025/02/16/%D9%85%D9%82%D8%AA%D8%B1%D8%AD%D8%A7%D8%AA-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%85%D9%83%D8%A7%D9%84%D9%85%D8%A9-%D8%A8%D9%8A%D9%86-%D8%A8%D9%86-%D8%B3%D9%84%D9%85%D8%A7%D9%86-%D9%88%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D8%BA%D8%B2%D8%A9-%D9%88%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%88%D8%AD%D8%B1%D8%A8-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",السعودية
"بها ""مسيرات انتحارية"".. خفر السواحل اليمني يضبط شحنة أسلحة إيرانية",https://www.alhurra.com/yemen/2025/02/16/%D8%A8%D9%87%D8%A7-%D9%85%D8%B3%D9%8A%D8%B1%D8%A7%D8%AA-%D8%A7%D9%86%D8%AA%D8%AD%D8%A7%D8%B1%D9%8A%D8%A9-%D8%AE%D9%81%D8%B1-%D8%A7%D9%84%D8%B3%D9%88%D8%A7%D8%AD%D9%84-%D8%A7%D9%84%D9%8A%D9%85%D9%86%D9%8A-%D9%8A%D8%B6%D8%A8%D8%B7-%D8%B4%D8%AD%D9%86%D8%A9-%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D8%A5%D9%8A%D8%B1%D8%A7%D9%86%D9%8A%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",اليمن
عاهل الأردن والملكة رانيا ينشران صور حفيدتهما الجديدة,https://www.alhurra.com/jordan/2025/02/16/%D8%B9%D8%A7%D9%87%D9%84-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86-%D9%88%D8%A7%D9%84%D9%85%D9%84%D9%83%D8%A9-%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D9%8A%D9%86%D8%B4%D8%B1%D8%A7%D9%86-%D8%B5%D9%88%D8%B1-%D8%AD%D9%81%D9%8A%D8%AF%D8%AA%D9%87%D9%85%D8%A7-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",الأردن
اتهامات متبادلة بين مغاربة وجزائريين بسبب إشاعة عن الملك محمد السادس,https://www.alhurra.com/maghreb-voices/2025/02/16/%D8%A7%D8%AA%D9%87%D8%A7%D9%85%D8%A7%D8%AA-%D9%85%D8%AA%D8%A8%D8%A7%D8%AF%D9%84%D8%A9-%D8%A8%D9%8A%D9%86-%D9%85%D8%BA%D8%A7%D8%B1%D8%A8%D8%A9-%D9%88%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A%D9%8A%D9%86-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%A5%D8%B4%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%85%D9%84%D9%83-%D9%85%D8%AD%D9%85%D8%AF-%D8%A7%D9%84%D8%B3%D8%A7%D8%AF%D8%B3,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",أصوات مغاربية
"قمة أوروبية استثنائية ""مصغرة"" مرتقبة حول أوكرانيا",https://www.alhurra.com/arabic-and-international/2025/02/16/%D9%82%D9%85%D8%A9-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D9%8A%D8%A9-%D8%A7%D8%B3%D8%AA%D8%AB%D9%86%D8%A7%D8%A6%D9%8A%D8%A9-%D9%85%D8%B5%D8%BA%D8%B1%D8%A9-%D9%85%D8%B1%D8%AA%D9%82%D8%A8%D8%A9-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",عربي ودولي
صلاح يقود ليفربول لفوز يعزز صدارته للدوري الإنكليزي,https://www.alhurra.com/sport/2025/02/16/%D8%B5%D9%84%D8%A7%D8%AD-%D9%8A%D9%82%D9%88%D8%AF-%D9%84%D9%8A%D9%81%D8%B1%D8%A8%D9%88%D9%84-%D9%84%D9%81%D9%88%D8%B2-%D9%8A%D8%B9%D8%B2%D8%B2-%D8%B5%D8%AF%D8%A7%D8%B1%D8%AA%D9%87-%D9%84%D9%84%D8%AF%D9%88%D8%B1%D9%8A-%D8%A7%D9%84%D8%A5%D9%86%D9%83%D9%84%D9%8A%D8%B2%D9%8A,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",رياضة
"تخترق الفولاذ.. ماذا نعرف عن قنابل ""إم.كي 84"" الأميركية التي تسلمتها إسرائيل؟",https://www.alhurra.com/israel/2025/02/16/%D8%AA%D8%AE%D8%AA%D8%B1%D9%82-%D8%A7%D9%84%D9%81%D9%88%D9%84%D8%A7%D8%B0-%D9%86%D8%B9%D8%B1%D9%81-%D9%82%D9%86%D8%A7%D8%A8%D9%84-%D8%A5%D9%85%D9%83%D9%8A-84-%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D8%A9-%D8%AA%D8%B3%D9%84%D9%85%D8%AA%D9%87%D8%A7-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D8%9F,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",إسرائيل
وفد إسرائيلي إلى مصر لبحث استمرار تنفيذ اتفاق غزة,https://www.alhurra.com/israel/2025/02/16/%D9%88%D9%81%D8%AF-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A-%D9%85%D8%B5%D8%B1-%D9%84%D8%A8%D8%AD%D8%AB-%D8%A7%D8%B3%D8%AA%D9%85%D8%B1%D8%A7%D8%B1-%D8%AA%D9%86%D9%81%D9%8A%D8%B0-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%BA%D8%B2%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",إسرائيل
"بعد ""ميستر بيست"".. نجم شهير في أهرامات مصر لجلسة تصوير",https://www.alhurra.com/varieties/2025/02/16/%D9%85%D9%8A%D8%B3%D8%AA%D8%B1-%D8%A8%D9%8A%D8%B3%D8%AA-%D9%86%D8%AC%D9%85-%D8%B4%D9%87%D9%8A%D8%B1-%D9%81%D9%8A-%D8%A3%D9%87%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-%D9%85%D8%B5%D8%B1-%D9%84%D8%AC%D9%84%D8%B3%D8%A9-%D8%AA%D8%B5%D9%88%D9%8A%D8%B1,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",منوعات
شملت لواءً حارب العراق.. الكويت تُجري أكبر عملية سحب جنسية بتاريخها,https://www.alhurra.com/kuwait/2025/02/16/%D8%B4%D9%85%D9%84%D8%AA-%D9%84%D9%88%D8%A7%D8%A1%D9%8B-%D8%AD%D8%A7%D8%B1%D8%A8-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D8%A7%D9%84%D9%83%D9%88%D9%8A%D8%AA-%D8%AA%D9%8F%D8%AC%D8%B1%D9%8A-%D8%A3%D9%83%D8%A8%D8%B1-%D8%B9%D9%85%D9%84%D9%8A%D8%A9-%D8%B3%D8%AD%D8%A8-%D8%AC%D9%86%D8%B3%D9%8A%D8%A9-%D8%A8%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%D9%87%D8%A7,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",الكويت
"العاهل الأردني يكرر موقفه بشأن ""تهجير الفلسطينيين""",https://www.alhurra.com/jordan/2025/02/16/%D8%A7%D9%84%D8%B9%D8%A7%D9%87%D9%84-%D8%A7%D9%84%D8%A3%D8%B1%D8%AF%D9%86%D9%8A-%D9%8A%D9%83%D8%B1%D8%B1-%D9%85%D9%88%D9%82%D9%81%D9%87-%D8%AA%D9%87%D8%AC%D9%8A%D8%B1-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",الأردن
"رد رسمي على دعوات إعلان ""حكومة منفى"" في السودان",https://www.alhurra.com/sudan/2025/02/16/%D8%B1%D8%AF-%D8%B1%D8%B3%D9%85%D9%8A-%D8%AF%D8%B9%D9%88%D8%A7%D8%AA-%D8%A5%D8%B9%D9%84%D8%A7%D9%86-%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D9%85%D9%86%D9%81%D9%89-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",السودان
كشف عن محادثات إسرائيلية مصرية قطرية.. ويتكوف: هذا ما رأيته في غزة,https://www.alhurra.com/usa/2025/02/16/%D9%83%D8%B4%D9%81-%D9%85%D8%AD%D8%A7%D8%AF%D8%AB%D8%A7%D8%AA-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D9%85%D8%B5%D8%B1%D9%8A%D8%A9-%D9%82%D8%B7%D8%B1%D9%8A%D8%A9-%D9%88%D9%8A%D8%AA%D9%83%D9%88%D9%81-%D9%85%D8%A7-%D8%B1%D8%A3%D9%8A%D8%AA%D9%87-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",أميركا
بعد اجتماعات مع مسؤولين أميركيين.. العراق يحظر 5 بنوك من التعامل بالدولار,https://www.alhurra.com/iraq/2025/02/16/%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%D8%A7%D8%AA-%D9%85%D8%B9-%D9%85%D8%B3%D8%A4%D9%88%D9%84%D9%8A%D9%86-%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D9%8A%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D9%8A%D8%AD%D8%B8%D8%B1-5-%D8%A8%D9%86%D9%88%D9%83-%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%85%D9%84-%D8%A8%D8%A7%D9%84%D8%AF%D9%88%D9%84%D8%A7%D8%B1,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",العراق
طالبة طب تحصل على ميدالية هي الأولى في تاريخ الجزائر,https://www.alhurra.com/sport/2025/02/16/%D8%B7%D8%A7%D9%84%D8%A8%D8%A9-%D8%B7%D8%A8-%D8%AA%D8%AD%D8%B5%D9%84-%D9%85%D9%8A%D8%AF%D8%A7%D9%84%D9%8A%D8%A9-%D9%87%D9%8A-%D8%A7%D9%84%D8%A3%D9%88%D9%84%D9%89-%D9%81%D9%8A-%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",رياضة
"""الخوف مستمر"".. تقرير عن العلويين في سوريا",https://www.alhurra.com/latest/2025/02/16/%D8%A7%D9%84%D8%AE%D9%88%D9%81-%D9%85%D8%B3%D8%AA%D9%85%D8%B1-%D8%AA%D9%82%D8%B1%D9%8A%D8%B1-%D8%A7%D9%84%D8%B9%D9%84%D9%88%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار
