,source,author,title,content,description,url,image_url?,published_at,tags
0,France 24,No Author,"السودان: عبد الفتاح البرهان يرفض أي حل سياسي ""مفروض من الخارج""",,"
                                        قال رئيس مجلس السيادة الانتقالي في السودان عبد الفتاح البرهان ""نحن نرفض أي حلول تأتي من الخارج"". وتأتي تصريحات البرهان بالتزامن مع اتفاق بين قوى سياسية وحركات مسلحة، وبمشاركة قوات من الدعم السريع التي يتزعمها حميدتي على توقيع  الميثاق السياسي بكينيا، لتأسيس سلطة موازية ومرحلة جديدة في البلاد، التي تشهد صراعا مسلحا أودى بحياة الالاف وتسبب في نزوح الملايين.                 ",https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250218-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D8%B9%D8%A8%D8%AF-%D8%A7%D9%84%D9%81%D8%A7%D8%AA%D8%AD-%D8%A7%D9%84%D8%A8%D8%B1%D9%87%D8%A7%D9%86-%D9%8A%D8%B1%D9%81%D8%B6-%D8%A3%D9%8A-%D8%AD%D9%84-%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A-%D9%85%D9%81%D8%B1%D9%88%D8%B6-%D9%85%D9%86-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC,https://s.france24.com/media/display/5b139004-eddc-11ef-80cd-005056bfb2b6/w:1280/p:16x9/capture-79001151467b4557e7fe758.90497320.jpg,No Published Date,أفريقيا
1,France 24,No Author,الجزائرية سلمى مليكة حدادي تفوز بمنصب نائب رئيس مفوضية الاتحاد الأفريقي,,No Description,https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250218-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A%D8%A9-%D8%B3%D9%84%D9%85%D9%89-%D9%85%D9%84%D9%8A%D9%83%D8%A9-%D8%AD%D8%AF%D8%A7%D8%AF%D9%8A-%D8%AA%D9%81%D9%88%D8%B2-%D8%A8%D9%85%D9%86%D8%B5%D8%A8-%D9%86%D8%A7%D8%A6%D8%A8-%D8%B1%D8%A6%D9%8A%D8%B3-%D9%85%D9%81%D9%88%D8%B6%D9%8A%D8%A9-%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A,https://s.france24.com/media/display/4094bd32-1d8c-11ea-8f09-005056a98db9/w:720/p:16x9/ECO%20ALG%20%20PHOTO%20PLEIN%20ECRAN%20ALGERIE.jpg,No Published Date,أفريقيا
2,France 24,No Author,"الاتحاد الأفريقي: ""لا نريد تقسيم شرق جمهورية الكونغو الديمقراطية""","
حذر الاتحاد الأفريقي على لسان مفوض السلم والأمن في الاتحاد بانكول أديوبي الأحد من تفكيك جمهورية الكونغو الديمقراطية قائلا: ""لا نريد تقسيم شرق جمهورية الكونغو الديمقراطية"" ، وذلك بعد يومين من دخول جماعة إم 23 المسلحة المدعومة من رواندا مدينة ثانية في شرق البلاد.
ومن دون الإشارة إلى رواندا بالاسم أضاف ""ندعو إلى الإبعاد الفوري لحركة إم 23 وأنصارها من جميع البلدات والمدن بما في ذلك مطار غوما"".
وقال أديويي إن ""من الضروري"" احترام ""سيادة جمهورية الكونغو الديمقراطية ووحدتها السياسية وسلامة أراضيها"".
هذا، وطالت تداعيات النزاع دولا أخرى. وحذر الأمين العام للأمم المتحدة أنطونيو غوتيريس السبت من أنه ""يجب تجنب التصعيد الإقليمي بأي ثمن"".
ويشار إلى أن حركة إم 23 استولت على عاصمة إقليم شرق الكونغو الديمقراطية غوما في نهاية كانون الثاني/يناير الماضي، قبل أن تتجه جنوبا في تصعيد للعنف بالمنطقة الشرقية التي عانت عقودا من الاشتباكات.

فرانس24/ أ ف ب","
                                        قال مفوض السلم والأمن في الاتحاد الأفريقي بانكول أديويي للصحافيين الأحد ""لا نريد تقسيم شرق جمهورية الكونغو الديمقراطية"". يأتي هذا، فيما استولت حركة إم 23 على عاصمة الإقليم غوما في نهاية كانون الثاني/ينايرالماضي، قبل أن تتجه جنوبا في تصعيد للعنف بالمنطقة الشرقية التي عانت عقودا من الاشتباكات.                ",https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250216-%D8%A7%D9%84%D8%A7%D8%AA%D8%AD%D8%A7%D8%AF-%D8%A7%D9%84%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A-%D9%84%D8%A7-%D9%86%D8%B1%D9%8A%D8%AF-%D8%AA%D9%82%D8%B3%D9%8A%D9%85-%D8%B4%D8%B1%D9%82-%D8%AC%D9%85%D9%87%D9%88%D8%B1%D9%8A%D8%A9-%D8%A7%D9%84%D9%83%D9%88%D9%86%D8%BA%D9%88-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9,https://s.france24.com/media/display/ac3ca7e0-cd6c-11ee-b9a4-005056a97e36/w:720/p:16x9/8a979fb3af997ffc5ddb383391c145c41a923117.jpg,No Published Date,أفريقيا
3,France 24,No Author,حوار حصري مع فرانس24: وزير الخارجية السوداني يؤكد غياب قوات الدعم السريع عن الحوار الوطني المرتقب,,"
                                        في مقابلة حصرية مع فرانس24، أكد وزير الخارجية السوداني علي يوسف أن الحوار الوطني سينطلق قريبا في السودان بمجرد حسم معركة العاصمة الخرطوم، لكنه شدد على أن الحوار لن يشمل قوات الدعم السريع. وزير الخارجية السوداني، أشاد أيضا في هذه المقابلة الحصرية بدور عدة دول إقليمية في دعم الجيش السوداني بينها مصر وتركيا التي قال إنها خاضت وساطة بين الخرطوم وأبوظبي.                ",https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250216-%D8%AD%D9%88%D8%A7%D8%B1-%D8%AD%D8%B5%D8%B1%D9%8A-%D9%85%D8%B9-%D9%81%D8%B1%D8%A7%D9%86%D8%B324-%D9%88%D8%B2%D9%8A%D8%B1-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86%D9%8A-%D9%8A%D8%A4%D9%83%D8%AF-%D8%BA%D9%8A%D8%A7%D8%A8-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D8%B9%D9%86-%D8%A7%D9%84%D8%AD%D9%88%D8%A7%D8%B1-%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A-%D8%A7%D9%84%D9%85%D8%B1%D8%AA%D9%82%D8%A8,https://s.france24.com/media/display/ac519346-ebff-11ef-81fb-005056a97e36/w:720/p:16x9/AR_20250215_234123_235320_CS.jpg,No Published Date,أفريقيا
4,France 24,No Author,قمة أديس أبابا: أزمة الكونغو تعتلي الملفات وانتخاب الجيبوتي محمود علي يوسف رئيسا للمفوضية الأفريقية,"
شكلت الأزمة في شرق جمهورية الكونغو الديمقراطية محور المحادثات في قمة الاتحاد الأفريقي التي تنعقد نهاية هذا الأسبوع في العاصمة الإثيوبية.
وبعدما سيطرت ""إم 23"" (حركة 23 آذار/مارس) في نهاية كانون الثاني/يناير على غوما، عاصمة إقليم شمال كيفو، واصلت تقدمها في إقليم جنوب كيفو المجاور.
كما سيطرت الحركة إلى جانب القوات الرواندية الجمعة على مطار مدينة بوكافو، عاصمة جنوب كيفو، وهو موقع استراتيجي تتمركز فيه القوات المسلحة الكونغولية ويقع على بعد حوالي ثلاثين كيلومترا من المدينة.
إلى ذلك، ومع السقوط الوشيك للمدينة التي سبق أن سيطر عليها جنود منشقون عن الجيش الكونغولي عام 2004، ستبسط حركة ""إم23"" والقوات الرواندية سيطرتها على بحيرة كيفو الممتدة على طول الحدود الرواندية.
هذا، وفي المقابل، يحظى الجيش الكونغولي بدعم من قوات جنوب أفريقية وبوروندية.
ووفق أرقام الأمم المتحدة، فإن حوالي أربعة آلاف عسكري رواندي يقاتلون في شرق جمهورية الكونغو الديمقراطية.
ومع تصاعد النزاع مؤخرا، وفيما تطالب كينشاسا بلا جدوى بفرض عقوبات دولية على كيغالي، تزايدت دعوات الأسرة الدولية إلى وقف إطلاق نار، ولا سيما من قادة دول شرق أفريقيا، من دون أن تلقى استجابة.
ويذكر أن المواجهات الأخيرة في هذه المنطقة التي تشهد اضرابات منذ ثلاثين عاما، أسفرت عن سقوط ما لا يقل عن 2900 قتيلا بحسب الأمم المتحدة.
ومن جانبه، لم يشارك رئيس الكونغو فيليكس تشيسيكيدي في اجتماع لمجلس السلام والأمن التابع للاتحاد الأفريقي الجمعة، لكنه حضر مؤتمر ميونيخ للأمن حيث ندد بـ""الميول التوسعية"" الرواندية داعيا إلى ""نبذ"" هذا البلد.
وكان من المقرر أن يشارك في قمة الاتحاد الأفريقي في نهاية هذا الأسبوع، لكنه عدل عن الحضور في نهاية المطاف.
ويشار إلى أن التكتل الأفريقي واجه انتقادات أخذت عليه بعض مواقفه باعتبارها شديدة الليونة وتصب في صالح كيغالي. وإن كان الرئيس المنتهية ولايته لمفوضية الاتحاد الرئيس التشادي موسى فقي محمد دعا في بيانات إلى وقف المعارك، فهو لم يذكر فيها رواندا.
وفي حديث لوكالة الأنباء الفرنسية، رأى تييري فيركولون من المعهد الفرنسي للعلاقات الدولية أن ""الاتحاد الأفريقي لا يملك أي سلطة في هذا النزاع، إنه مجرد متفرج"".
واعتبر ريشار مونكرييف خبير منطقة البحيرات الكبرى في مجموعة الأزمات الدولية أن رئيس رواندا بول ""كاغامي استنتج بوضوح أن أفضل مقاربة له هي أن يتقدم، وهو يحظى بدعم"" من الدول الأفريقية.
وقال وزير المالية في جيبوتي إن الزعماء الأفارقة اختاروا وزير خارجية جيبوتي محمود علي يوسف رئيسا لمفوضية الاتحاد الأفريقي السبت.
وفي منشور على منصة إكس، كتب إلياس موسى دوالي وزير الاقتصاد والمالية في جيبوتي إن يوسف ""فاز"" بالمنصب عبر انتخابات.

ومن جهته، أفاد الناطق باسم الرئاسة الجيبوتية بأن محمود علي يوسف من جيبوتي انتخب رئيسا لمفوضية الاتحاد الأفريقي.
وأكد الناطق أليكسيس محمد قائلا: ""لقد فزنا، لقد ضمنّا أكبر عدد من الأصوات وفزنا"". وأوضح أن يوسف نال تأييد 33 صوتا متغلبا على السياسي الكيني المعارض رايلا أودينغا الذي كان الأوفر حظا بالفوز. وسيخلف التشادي موسى فكي محمد لولاية تدوم أربع سنوات.
وكان قد تنافس ثلاثة مرشحين لهذا المنصب الذي خصص هذه المرة لممثل عن شرق أفريقيا، وهم وزير خارجية جيبوتي محمود علي يوسف، والمعارض الكيني رايلا أودينغا، ووزير خارجية مدغشقر السابق ريشارد راندرياماندراتو.
ويذكر أن هذا النزاع يثير مخاوف من اندلاع حرب إقليمية على ضوء الوجود العسكري للعديد من الدول المجاورة للكونغو الديمقراطية على أراضي هذه الدولة الشاسعة في أفريقيا الوسطى.

فرانس24/ أ ف ب/رويترز
","
                                        اعتلى التصعيد العسكري في شرق جمهورية الكونغو الديمقراطية حيث سيطرت الجمعة حركة ""إم23"" المسلحة المدعومة من رواندا على مدينة استراتيجية، ملفات قمة الاتحاد الأفريقي التي تنعقد في نهاية الأسبوع بالعاصمة الإثيوبية أديس أبابا في غياب رئيس الكونغو فيليكس تشيسيكيدي. فيما تم انتخاب وزير خارجية جيبوتي محمود علي يوسف رئيسا لمفوضية الاتحاد الأفريقي.                ",https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250215-%D8%A7%D9%84%D9%82%D9%85%D8%A9-%D8%A7%D9%84%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A9-%D8%A7%D9%84%D8%AA%D8%B5%D8%B9%D9%8A%D8%AF-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A-%D9%81%D9%8A-%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D9%83%D9%88%D9%86%D8%BA%D9%88-%D9%8A%D8%B9%D8%AA%D9%84%D9%8A-%D8%A7%D9%84%D9%85%D9%84%D9%81%D8%A7%D8%AA-%D8%A8%D8%A3%D8%AF%D9%8A%D8%B3-%D8%A3%D8%A8%D8%A7%D8%A8%D8%A7,https://s.france24.com/media/display/d607f138-eb7a-11ef-a86d-005056bf30b7/w:720/p:16x9/3a4667ffda25f8dda01f162ee4ce66fecacdfb7a.jpg,No Published Date,أفريقيا
5,France 24,No Author,السودان: قوات الدعم السريع تستهدف مخيما يعاني من المجاعة وفق سكان وعاملين صحيين,"

وفق سكان وعاملين بالقطاع الطبي إن قوات الدعم السريع السودانية هاجمت مخيم زمزم للنازحين الذي يعاني من المجاعة في وقت تحاول فيه القوات شبه العسكرية إحكام قبضتها على معقلها في دارفور مع تكبدها خسائر أمام الجيش في العاصمة الخرطوم.
وتسبب أحدث قتال إلى ترسيخ خطوط المواجهة بين الطرفين المتناحرين في صراع يهدد بتقسيم السودان بعد أن دفع نصف السكان إلى هاوية الجوع وشرّد أكثر من 20 بالمئة منهم منذ أبريل/ نيسان 2023.
وأفاد ثلاثة أشخاص في مخيم زمزم أن قوات الدعم السريع شنت هذا الأسبوع هجمات متعددة على سكان المخيم في إطار محاولتها تعزيز سيطرتها على أراضيها.
وذكرت منظمة أطباء بلا حدود أن سبعة أشخاص قتلوا نتيجة للعنف، بينما يقول السكان إن العشرات ربما يكونون قد لاقوا حتفهم. وقالت المنظمة إن المسعفين غير قادرين على إجراء عمليات جراحية داخل زمزم، كما أصبح السفر مستحيلا إلى المستشفى السعودي في الفاشر، وهو هدف متكرر لقوات الدعم السريع.
وتحققت وكالة الأنباء البريطانية رويترز من مقطع فيديو يظهر أفرادا من قوات الدعم السريع داخل مخيم زمزم في وقت سابق هذا الأسبوع وهم يدوسون على راية للطرف الثاني من الصراع مع تعرض مبنى للاحتراق في الخلفية.
ويقع مخيم زمزم قرب مدينة الفاشر، عاصمة ولاية شمال دارفور، وهي آخر معاقل الجيش في إقليم دارفور الأوسع.


وتقول قوات الدعم السريع، التي لم ترد على طلب التعليق بعد، إن زمزم قاعدة للقوات المشتركة، وهي جماعات متمردة سابقة تقاتل الآن في صف الجيش.
وتضمن بيان للقوات المشتركة الخميس أنها لم تكن في المخيم. وقالت الحكومة السودانية إن الجيش والقوات المشتركة ومتطوعين آخرين تمكنوا من صد قوات الدعم السريع في مخيم زمزم الأربعاء.
بعد ما يقرب من 22 شهرا من اندلاع الحرب بسبب صراع على السلطة بين الجيش وقوات الدعم السريع، تسيطر القوات شبه العسكرية على كل دارفور تقريبا في غرب السودان، ومعظم منطقة كردفان المجاورة، بينما يسيطر الجيش على شمال السودان وشرقه، وحقق في الآونة الأخيرة مكاسب كبيرة في الخرطوم.
وأفاد السياسي إبراهيم الميرغني أنه سيتم توقيع ""ميثاق سياسي"" لإنشاء حكومة موازية في المناطق التي تسيطر عليها قوات الدعم السريع الأسبوع المقبل، مع الإعلان عن تشكيل الحكومة بعد ذلك بفترة وجيزة. ويؤيد الميرغني هذه الجهود.

وذكر أحد السكان وأظهر مقطع فيديو نشره نشطاء أن قوات الدعم السريع تستهدف مخيم زمزم بالمدفعية منذ أشهر، مما دفع بعض الأشخاص إلى حفر جحور للاحتماء بها.
وقال ذلك الساكن إنهم يمارسون التخويف ويرتكبون السرقات والقتل داخل الأحياء، وإن الناس يختبئون في هذه الجحور عندما يطلقون النار أثناء المداهمات، لأنه لا يوجد مكان آخر يفرون إليه.
وأشار مختبر الأبحاث الإنسانية التابع لكلية الصحة العامة بجامعة ييل أن قوات الدعم السريع واصلت أيضا تنفيذ المداهمات وهجمات الحرق العمد في القرى المحيطة بالفاشر في الأسابيع القليلة الماضية.
وقال ناثانيال رايموند المدير التنفيذي للمختبر إن المختبر خلص إلى أن أكثر من نصف المباني في السوق الرئيسية بزمزم دُمرت بطريقة تتسق مع هجمات الحرق العمد.
ووفق مقطع فيديو نشره مني مناوي حاكم دارفور الموالي للجيش أكشاكا محترقة وخضراوات متناثرة على الأرض.
وقال رايموند إنه تم رصد حرائق متعمدة أيضا في منازل على طول المدخل الشمالي للمخيم.
من جهتها، قالت المنظمة الدولية للهجرة إن هذه الأحداث أدت إلى نزوح عشرات الألوف، ولجأ كثير منهم إلى مخيم زمزم، مما أدى إلى تضخم عدد سكان المخيم إلى مليون شخص.
قالت كليمنتاين نكويتا سلامي ممثلة الأمم المتحدة في السودان الخميس إنها ""صدمت من الهجمات على مخيم زمزم للنازحين وقطع طرق الهروب"".
وذكرت الأمم المتحدة وعمال إغاثة آخرون أن قوات الدعم السريع قيدت جهود الإغاثة في أنحاء إقليم دارفور، كما تأثرت الجهود بالتجميد المفروض على الوكالة الأمريكية للتنمية الدولية.
وقالت ماريون رامستاين منسقة منظمة أطباء بلا حدود في شمال دارفور إن المنظمة اضطرت إلى وقف برنامج تغذية لنحو ستة آلاف طفل يعانون من سوء التغذية بعد الهجمات. وأطباء بلا حدود واحدة من المنظمات الإنسانية القليلة التي تنفذ عمليات في المنطقة.
وفي أغسطس/ آب، خلصت لجنة مراجعة المجاعة بالتصنيف المرحلي المتكامل للأمن الغذائي إلى أن مخيم زمزم يعاني من المجاعة. وفي ديسمبر/ كانون الأول، أكدت اللجنة تفشي المجاعة في مخيمين آخرين في الفاشر.
وفي وقت سابق من هذا الشهر، قالت منظمة أطباء بلا حدود إنها وجدت أن نسبة أطفال المخيم الذين يعانون من سوء التغذية ارتفعت إلى 34 بالمئة، وهو مستوى مماثل للموجود في بلدة طويلة القريبة التي فر إليها كثيرون بسبب هجمات قوات الدعم السريع.

فرانس24/ رويترز","
                                        هاجمت قوات الدعم السريع السودانية مخيم زمزم للنازحين، مما أسفر عن سقوط قتلى وتعطيل الإغاثة الطبية، وفق ما أفاد به سكان وعاملون صحيون. يأتي الهجوم وسط تصاعد الصراع في دارفور، حيث تحاول القوات شبه العسكرية تعزيز سيطرتها رغم خسائرها أمام الجيش في الخرطوم.                ",https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250215-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%AF%D8%B9%D9%85-%D8%A7%D9%84%D8%B3%D8%B1%D9%8A%D8%B9-%D8%AA%D8%B3%D8%AA%D9%87%D8%AF%D9%81-%D9%85%D8%AE%D9%8A%D9%85%D8%A7-%D9%8A%D8%B9%D8%A7%D9%86%D9%8A-%D9%85%D9%86-%D8%A7%D9%84%D9%85%D8%AC%D8%A7%D8%B9%D8%A9-%D9%88%D9%81%D9%82-%D8%B3%D9%83%D8%A7%D9%86-%D9%88%D8%B9%D8%A7%D9%85%D9%84%D9%8A%D9%86-%D8%B5%D8%AD%D9%8A%D9%8A%D9%86,https://s.france24.com/media/display/db2576f2-5397-11ef-b680-005056a90284/w:720/p:16x9/2024-07-18T145459Z_210964471_RC23P099J0DY_RTRMADP_3_SUDAN-POLITICS-AID.JPG,No Published Date,أفريقيا
6,France 24,No Author,فيضانات وتغير مناخي.. دوامة الفقر مستمرة في سيراليون,,"
                                                سيراليون، هي إحدى الدول الأكثر عرضة لتآكل السواحل، وفقا للأمم المتحدة. يواجه أكثر من مليوني شخص خطر ارتفاع منسوب البحر. حتى العاصمة فريتاون وأحياؤها العشوائية التي شيدت على أراض اقتطعت من البحر، أصبحت على وشك الغرق. تعود هذه الظاهرة إلى تغير المناخ، ولكن أيضا إلى سلوكيات البشر، والأوضاع الاجتماعية بسبب الفقر المدقع في البلاد والنتيجة هي أن بعض السكان يدفعون إلى تدمير بيئتهم لكسب قوت يومهم. تقرير: سارة ساخو، سيدو باه، وسيمون مارتن                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D9%85%D8%B1%D8%A7%D8%B3%D9%84%D9%88%D9%86/20250214-%D9%81%D9%8A%D8%B6%D8%A7%D9%86%D8%A7%D8%AA-%D9%88%D8%AA%D8%BA%D9%8A%D8%B1-%D9%85%D9%86%D8%A7%D8%AE%D9%8A-%D8%AF%D9%88%D8%A7%D9%85%D8%A9-%D8%A7%D9%84%D9%81%D9%82%D8%B1-%D9%85%D8%B3%D8%AA%D9%85%D8%B1%D8%A9-%D9%81%D9%8A-%D8%B3%D9%8A%D8%B1%D8%A7%D9%84%D9%8A%D9%88%D9%86,https://s.france24.com/media/display/44f0d250-eaee-11ef-856f-005056a97e36/w:720/p:16x9/AR_PUSH_PICTURE%20%280-00-00-00%29.jpg,No Published Date,أفريقيا
7,France 24,No Author,جنوب أفريقيا: جوهانسبورغ.. مدينة تنهار تحت وطأة الفساد والصراعات السياسية,,"
                                                في السابق، تميز وسط مدينة جوهانسبرغ باعتباره مركزا اقتصاديا يضم الكثير من المساحات الخضراء. لكن على مدى العقدين الماضيين، تدهورت المدينة لتصبح مدينة معروفة اليوم بالجريمة، والإهمال، وانهيار البنية التحتية. من جهة أخرى لعب تزايد عدد السكان، الذين يرفض الكثير منهم دفع ثمن الخدمات، دورا في تعميق هذه الأزمة، خصوصا مع تعاقب عشرة رؤساء بلديات على المدينة خلال مدى خمس سنوات، ناهيك عن الفساد أثناء عمليات المناقصة لتقديم الخدمات ما أدى إلى إنهيار البنية التحتية للمدينة والاستيلاء على منطقة التجارة المركزية من قبل عصابات.                    ",https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B1%D9%8A%D8%A8%D9%88%D8%B1%D8%AA%D8%A7%D8%AC/20250214-%D8%AC%D9%86%D9%88%D8%A8-%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7-%D8%AC%D9%88%D9%87%D8%A7%D9%86%D8%B3%D8%A8%D9%88%D8%B1%D8%BA-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%AA%D9%86%D9%87%D8%A7%D8%B1-%D8%AA%D8%AD%D8%AA-%D9%88%D8%B7%D8%A3%D8%A9-%D8%A7%D9%84%D9%81%D8%B3%D8%A7%D8%AF-%D9%88%D8%A7%D9%84%D8%B5%D8%B1%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B3%D9%8A%D8%A7%D8%B3%D9%8A%D8%A9,https://s.france24.com/media/display/2c95d290-eaea-11ef-b511-005056a90284/w:720/p:16x9/capture-127177532267af6430091d15.87354423.jpg,No Published Date,أفريقيا
8,France 24,No Author,"غوتيريس يدعو إلى وقف تدفّق الأسلحة إلى السودان... والإمارات تقترح ""هدنة إنسانية"" خلال شهر رمضان",,No Description,https://www.france24.com/ar/%D8%A3%D9%81%D8%B1%D9%8A%D9%82%D9%8A%D8%A7/20250214-%D8%BA%D9%88%D8%AA%D9%8A%D8%B1%D9%8A%D8%B3-%D9%8A%D8%AF%D8%B9%D9%88%D8%A5%D9%84%D9%89-%D9%88%D9%82%D9%81-%D8%AA%D8%AF%D9%81%D9%91%D9%82-%D8%A7%D9%84%D8%A3%D8%B3%D9%84%D8%AD%D8%A9-%D8%A5%D9%84%D9%89-%D8%A7%D9%84%D8%B3%D9%88%D8%AF%D8%A7%D9%86-%D9%88%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AA%D9%82%D8%AA%D8%B1%D8%AD-%D9%87%D8%AF%D9%86%D8%A9-%D8%A5%D9%86%D8%B3%D8%A7%D9%86%D9%8A%D8%A9-%D8%AE%D9%84%D8%A7%D9%84-%D8%B4%D9%87%D8%B1%D8%B1%D9%85%D8%B6%D8%A7%D9%86,https://s.france24.com/media/display/f8f9c23c-ae9d-11ed-ac88-005056bfb2b6/w:720/p:16x9/000_339F68J.jpg,No Published Date,أفريقيا
